blocker_type,feature_introduced,move_limit,objective_type,objective_amount,avg_daily_wins_before_first_attempt,avg_daily_attempts_before_first_attempt,avg_active_day_on_first_attempt,near_loss_wins_2_or_less_moves,near_win_losses_5_percent_or_less_objective,level_number,labeled_difficulty,median_attempts_per_winner,players,mid_match_quits,attempts,wins,first_attempt_win_streak_tier_0,first_attempt_win_streak_tier_1,first_attempt_win_streak_tier_2,first_attempt_win_streak_tier_3,median_moves_remaining_win,median_objective_pct_remaining_loss,median_base_coins_rewarded_win,median_move_coins_rewarded,first_attempt_winstreak_tier_1_wins,first_attempt_winstreak_tier_2_wins,first_attempt_winstreak_tier_3_wins,extra_moves_offered,extra_moves_purchased,extra_moves_wins,gold_extra_move_purchased,median_pgb_inventory_amount_first_attempt,median_igb_inventory_amount_first_attempt,median_gold_inventory_amount_first_attempt,median_customer_gold_inventory_amount_first_attempt,median_90th_percentile_customer_gold_inventory_amount_first_attempt,median_95th_percentile_customer_gold_inventory_amount_first_attempt,median_99th_percentile_customer_gold_inventory_amount_first_attempt,pgb_purchased,gold_pgb_sink,pgb_amount_used,igb_purchased,igb_gold_pbg_sink,igb_amount_used,average_moves_coins_rewarded,balance_patch_version,retained_players_to_next_level
candy cookie,,30,cookie,32,0.7857618097139055,2.6127744510978044,1.5038811266356176,34,11,1,normal,1.0,4321,653,4945,4292,4509,0,0,0,18.0,0.203125,,,0,0,0,76,15,11,,9.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,0,,,,,1.0.1746,3649
candy cookie,,30,cookie,32,2.5290803645401825,6.257000828500415,0.6057995028997515,65,13,1,normal,1.0,5754,940,6611,5671,6035,0,0,0,18.0,0.15625,,,0,0,0,122,40,22,,9.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,0,,,,,1.0.1781,4774
candy cookie,,30,cookie,32,3.859720526387193,9.090489757156424,0.540360873694207,53,15,1,normal,1.0,7110,869,7869,7000,7371,0,0,0,19.0,0.15625,,,0,0,0,99,32,15,,9.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,0,,,,,1.0.1820,6061
candy cookie,,30,cookie,32,7.001250390747108,15.599562363238512,0.4607689903094717,5,2,1,normal,1.0,3083,252,3308,3056,3199,0,0,0,22.0,0.0625,,,0,0,0,15,4,2,,9.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,0,,,,,1.0.1895,2762
candy cookie,,35,cookie,36,3.281930238657225,7.744820351429321,2.8649357461316547,14,6,2,normal,1.0,3644,291,3988,3697,3813,0,0,0,19.0,0.1111111111111111,,,0,0,0,28,5,2,,9.0,0.0,2051.0,,,,,,,0,,,,,1.0.1746,3318
candy cookie,,35,cookie,36,1.6715223635617562,4.3838736151005335,2.0869922035289292,38,6,2,normal,1.0,4760,419,5109,4690,4874,0,0,0,19.0,0.08333333333333333,,,0,0,0,20,17,14,,9.0,0.0,2051.0,2031.0,2061.0,2061.0,2061.0,,,0,,,,,1.0.1781,4355
candy cookie,,35,cookie,36,1.3218050065876152,3.691699604743083,1.3050065876152832,27,4,2,normal,1.0,6018,400,6293,5893,6072,0,0,0,22.0,0.16666666666666666,,,0,0,0,24,10,8,,9.0,0.0,2053.0,2052.0,2058.0,2067.0,2067.0,,,0,,,,,1.0.1820,5522
candy cookie,,35,cookie,36,1.4996323529411764,4.029411764705882,1.1974264705882354,10,1,2,normal,1.0,2690,143,2779,2636,2720,0,0,0,21.0,0.05555555555555555,,,0,0,0,9,9,6,,9.0,0.0,2061.0,2059.0,2069.0,6062.0,6062.0,,,0,,,,,1.0.1895,2530
candy cookie,,38,cookie,25,4.399371966885527,10.001712817584927,3.0037111047673424,90,14,3,normal,1.0,3337,337,3821,3484,3503,0,0,0,15.0,0.24,,,0,0,0,108,52,34,,9.0,0.0,2106.0,2091.0,2091.0,2091.0,2091.0,,,0,,,,,1.0.1746,3131
candy cookie,,38,cookie,25,2.60804469273743,6.273966480446927,2.7202234636871507,134,36,3,normal,1.0,4382,359,4872,4513,4475,0,0,0,16.0,0.24,,,0,0,0,217,81,49,,9.0,0.0,2105.0,2076.0,2079.0,2079.0,2079.0,,,0,,,,,1.0.1781,4097
